context,pun_word,alter_word,pun_word_sense,alter_word_sense,new_pun,user_pun
"bankers,generous",lease,least,a contract granting use or occupation of property during a specified time for a specified payment,the superlative of `little' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning smallest in amount or extent or degree,no,{}
"bargain store promised,abacus,every purchase,would not  on it",handy,hand,useful and convenient,the (prehensile) extremity of the superior limb,no,{}
"bargain store promised,abacus,every purchase,would not  on it",brail,bail,transcribe in braille,secure the release of (someone) by providing security,no,{}
"bargain store promised,abacus,every purchase,would not  on it",lease,least,a contract granting use or occupation of property during a specified time for a specified payment,the superlative of `little' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning smallest in amount or extent or degree,no,{}
"baseball,line",catch,catch,a drawback or difficulty that is not readily evident,the quantity that was caught,yes,"And first baseball seems like fun, but later there’s always a catch."
"baseball,line",puckishly,puck,in an appealing but bold manner,a vulcanized rubber disk 3 inches in diameter that is used instead of a ball in ice hockey,no,{}
"baseball,line",got,got,come into the possession of something concrete or abstract,receive as a retribution or punishment,no,{}
"basketball,give",puckishly,puck,in an appealing but bold manner,a vulcanized rubber disk 3 inches in diameter that is used instead of a ball in ice hockey,no,{}
"basketball,give",got,got,come into the possession of something concrete or abstract,receive as a retribution or punishment,no,{}
"basketball,give",still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,no,{}
beagles,pair,pear,two people considered as a unit,sweet juicy gritty-textured fruit available in many varieties,yes,There was a pear of beagles and they both looked green
beagles,dogmatized,dog,speak dogmatically,a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds,no,{}
beagles,inferred,fur,reason by deduction; establish by deduction,a garment made of animal pelts or synthetic fur,no,{}
"beauty school,class",pin,pin,ascribe blame or guilt for something to (someone),attach or fasten with pins,no,{}
"beauty school,class",cultured,cultured,(biology) the growing of microorganisms in a nutrient medium (such as gelatin or agar),marked by refinement in taste and manners,yes,"I heard that beauty class chemicals are highly cultured, they read a lot!"
"beauty school,class",makeup,makeup,cosmetics applied to the face to improve or change your appearance,an event that is substituted for a previously cancelled event,yes,I went to my beauty school class on Saturday because I had to do a makeup!
"brandenburg concertos,listeing",testily,test,in a petulant manner,a set of questions or exercises evaluating skill or knowledge,no,{}
"brandenburg concertos,listeing",aria,area,an elaborate song for solo voice,a particular environment or walk of life,yes,"I heard some music somewhere outside, but I could not pinpoint the exact aria"
"brandenburg concertos,listeing",brail,bail,transcribe in braille,secure the release of (someone) by providing security,no,{}
"bread,bakers",handy,hand,useful and convenient,the (prehensile) extremity of the superior limb,yes,"A break baker baked too long and said ""I hurt my handy"""
"bread,bakers",splice,slice,joint made by overlapping two ends and joining them together,a serving that has been cut from a larger portion,no,{}
"bread,bakers",cuts,cuts,the act of reducing the amount or number,the act of shortening something by chopping off the ends,yes,The bread baker took a cut off of the sliced bread.
bright star,moonlighting,moonlighting,"work a second job, usually after hours",the light of the Moon,yes,"stars work all night in the dark, they are often moonlighting"
bright star,pair,pear,two people considered as a unit,sweet juicy gritty-textured fruit available in many varieties,no,{}
bright star,oddly,odds,in a strange manner,the ratio by which one better's wager is greater than that of another,no,{}
bug spray,handy,hand,useful and convenient,the (prehensile) extremity of the superior limb,yes,"The bug spray is in the cabinet, it is not in my handy"
bug spray,alarmed,alarmed,experiencing a sudden sense of danger,a device that signals the occurrence of some undesirable event,no,{}
bug spray,got,got,come into the possession of something concrete or abstract,receive as a retribution or punishment,no,{}
"building,jump off,allegedly,threatened,man",jerk,jerk,a dull stupid fatuous person,an abrupt spasmodic movement,yes,"The threatened man was on top of the building, he screamed very suddenly, like a jerk!"
"building,jump off,allegedly,threatened,man",lease,least,a contract granting use or occupation of property during a specified time for a specified payment,the superlative of `little' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning smallest in amount or extent or degree,no,{}
"building,jump off,allegedly,threatened,man",projected,projected,communicate vividly,project on a screen,no,{}
"calendar,twelve months,thief,stole",lease,least,a contract granting use or occupation of property during a specified time for a specified payment,the superlative of `little' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning smallest in amount or extent or degree,yes,The month of February has the lease amount of days in the calendar
"calendar,twelve months,thief,stole",number,number,a select company of people,"the number of molecules in a mole of a substance (approximately 602,250,000,000,000,000,000,000)",no,{}
"calendar,twelve months,thief,stole",mark,mark,the impression created by doing something unusual or extraordinary that people notice and remember,a visible indication made on a surface,no,{}
carnival,atmosphere,atmosphere,a particular environment or surrounding influence,the mass of air surrounding the Earth,yes,"They built a carnival on the moon but it was boring, it had no atmosphere"
carnival,Fair,Fair,free from favoritism or self-interest or bias or deception; conforming with established standards or rules,a traveling show; having sideshows and rides and games of skill etc.,yes,"The carnival had great pricing, it was very much fair"
carnival,lute,loot,"chordophone consisting of a plucked instrument having a pear-shaped body, a usually bent neck, and a fretted fingerboard",goods or money obtained illegally,no,{}
"carnival,county",brail,bail,transcribe in braille,secure the release of (someone) by providing security,no,{}
"carnival,county",cultured,cultured,(biology) the growing of microorganisms in a nutrient medium (such as gelatin or agar),marked by refinement in taste and manners,yes,"The carnival had many animals that read a lot, it was highly cultured"
"carnival,county",atmosphere,atmosphere,a particular environment or surrounding influence,the mass of air surrounding the Earth,no,{}
"case,judge",charge,charge,pay with a credit card; pay with plastic money; postpone payment by recording a purchase as a debt,energize a battery by passing a current through it in the direction opposite to discharge,yes,The judge dismissed the felony charge because he needed to go plug in his phone
"case,judge",brail,bail,transcribe in braille,secure the release of (someone) by providing security,no,{}
"case,judge",premises,premises,a statement that is assumed to be true and from which a conclusion can be drawn,land and the buildings on it,no,{}
cashiers,brail,bail,transcribe in braille,secure the release of (someone) by providing security,yes,The blind cashiers were in jail but they could not set brail.
cashiers,count,count,determine the number or amount of,have faith or confidence in,yes,The cashiers could not count on the money being paid in full
cashiers,lease,least,a contract granting use or occupation of property during a specified time for a specified payment,the superlative of `little' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning smallest in amount or extent or degree,yes,The cashiers told us that the rent fee was the lease of their worries this month
"cheese,breath,waited,cat ate,mouse",cultured,cultured,(biology) the growing of microorganisms in a nutrient medium (such as gelatin or agar),marked by refinement in taste and manners,yes,The cat ate cheese that was very smart because it was highly cultured.
"cheese,breath,waited,cat ate,mouse",inferred,fur,reason by deduction; establish by deduction,a garment made of animal pelts or synthetic fur,no,{}
"cheese,breath,waited,cat ate,mouse",still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,no,{}
"chinese cooks,die",still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,no,{}
"chinese cooks,die",cuts,cuts,the act of reducing the amount or number,the act of shortening something by chopping off the ends,yes,Chinese cooks never die because they can take infinite cuts on their meat
"chinese cooks,die",mist,miss,a thin fog with condensation near the ground,fail to perceive or to catch with the senses or the mind,no,{}
"chronically absent,career,employee,just  off",absinthe,absence,strong green liqueur flavored with wormwood and anise,the time interval during which something or somebody is away,yes,"The employee is never there, he must be green with ansinthe"
"chronically absent,career,employee,just  off",lamely,lame,in a weak and unconvincing manner,disabled in the feet or legs,no,{}
"chronically absent,career,employee,just  off",lame,lame,pathetically lacking in force or effectiveness,disabled in the feet or legs,yes,"The career employee is never in the office, probably because he is at home being lame"
"coins,to be",handy,hand,useful and convenient,the (prehensile) extremity of the superior limb,yes,"The coins live in a wallet, but they would rather be in handy."
"coins,to be",lease,least,a contract granting use or occupation of property during a specified time for a specified payment,the superlative of `little' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning smallest in amount or extent or degree,no,{}
"coins,to be",interest,interest,a sense of concern with and curiosity about someone or something,a fixed charge for borrowing money; usually a percentage of the amount borrowed,yes,The coins were bored with the bad economy so they lost interest.
"commute,bunnies",lamely,lame,in a weak and unconvincing manner,disabled in the feet or legs,yes,The bunnies had to commute to work so they went to bed early lamely.
"commute,bunnies",coupe,coop,a car with two doors and front seats and a luggage compartment,a farm building for housing poultry,yes,The bunnies commute to work in the backyard in a chicken coupe.
"commute,bunnies",lame,lame,pathetically lacking in force or effectiveness,disabled in the feet or legs,no,{}
"company football team,meeting,get together",lease,least,a contract granting use or occupation of property during a specified time for a specified payment,the superlative of `little' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning smallest in amount or extent or degree,yes,"The football team played poorly together and did now own their division, they leased it"
"company football team,meeting,get together",projected,projected,communicate vividly,project on a screen,no,{}
"company football team,meeting,get together",impressed,impressed,impress positively,mark or stamp with or as if with pressure,yes,{}
"condition,mouthwash bottles",handy,hand,useful and convenient,the (prehensile) extremity of the superior limb,yes,"The mouthwash bottle is in the cabinet, not in my handy"
"condition,mouthwash bottles",absinthe,absence,strong green liqueur flavored with wormwood and anise,the time interval during which something or somebody is away,no,{}
"condition,mouthwash bottles",lease,least,a contract granting use or occupation of property during a specified time for a specified payment,the superlative of `little' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning smallest in amount or extent or degree,yes,The condition of the mouthwash bottle is the lease of my concerns right now
"cross - eyed teacher,teacher",stripes,stripes,a narrow marking of a different color or texture from the background,a kind or category,yes,The general wore a weird suit but he is very experienced so he is full of stripes
"cross - eyed teacher,teacher",loyally,loyola,with loyalty; in a loyal manner,Spaniard and Roman Catholic theologian and founder of the Society of Jesus; a leading opponent of the Reformation (1491-1556),no,{}
"cross - eyed teacher,teacher",meanly,mean,in a nasty ill-tempered manner,an average of n numbers computed by adding some function of the numbers and dividing by some function of n,no,{}
"dentists,hard day",pin,pin,ascribe blame or guilt for something to (someone),attach or fasten with pins,no,{}
"dentists,hard day",handy,hand,useful and convenient,the (prehensile) extremity of the superior limb,yes,A good dentist always keeps his hands handy!
"dentists,hard day",lame,lame,pathetically lacking in force or effectiveness,disabled in the feet or legs,no,{}
"disputes,church",stand,stand,be standing; be upright,be in some specified state or condition,no,{}
"disputes,church",canons,cannon,a collection of books accepted as holy scripture especially the books of the Bible recognized by any Christian church as genuine and inspired,a large artillery gun that is usually on wheels,no,{}
"disputes,church",feudal,futile,of or relating to or characteristic of feudalism,unproductive of success,no,{}
"einstein,parents",meanly,mean,in a nasty ill-tempered manner,an average of n numbers computed by adding some function of the numbers and dividing by some function of n,yes,Einstein's parents always thought Einstein knew just how to find the mean in any situation.
"einstein,parents",prince,print,a male member of a royal family other than the sovereign (especially the son of a sovereign),a printed picture produced from a photographic negative,no,{}
"einstein,parents",dribble,dribble,let saliva drivel from the mouth,propel,no,{}
"farmer,bull",lame,lame,pathetically lacking in force or effectiveness,disabled in the feet or legs,yes,"The farmer's bull didn't go out very much, he was lame!"
"farmer,bull",Fair,Fair,free from favoritism or self-interest or bias or deception; conforming with established standards or rules,a traveling show; having sideshows and rides and games of skill etc.,yes,"The farmer took his bull to the circus, but the bull knew it wasn't fair."
"farmer,bull",prince,print,a male member of a royal family other than the sovereign (especially the son of a sovereign),a printed picture produced from a photographic negative,no,{}
"finished,wall sculptors,it be a",relief,relief,the feeling that comes when something burdensome is removed or reduced,sculpture consisting of shapes carved on a surface so as to stand out from the surrounding background,yes,The sculptor and his wall were full of relief when he finished.
"finished,wall sculptors,it be a",handy,hand,useful and convenient,the (prehensile) extremity of the superior limb,no,{}
"finished,wall sculptors,it be a",got,got,come into the possession of something concrete or abstract,receive as a retribution or punishment,no,{}
"flock together,priest,robins",prince,print,a male member of a royal family other than the sovereign (especially the son of a sovereign),a printed picture produced from a photographic negative,no,{}
"flock together,priest,robins",mist,miss,a thin fog with condensation near the ground,fail to perceive or to catch with the senses or the mind,no,{}
"flock together,priest,robins",barked,bach,speak in an unfriendly tone,German baroque organist and contrapuntist; composed mostly keyboard music; one of the greatest creators of western music (1685-1750),no,{}
"flock,doves,stage a",lame,lame,pathetically lacking in force or effectiveness,disabled in the feet or legs,no,{}
"flock,doves,stage a",stalling,stalling,postpone doing what one should be doing,small area set off by walls for special use,no,{}
"flock,doves,stage a",still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,yes,The flock of doves were still on the still on stage.
"flowers,fig leaf,eve",absinthe,absence,strong green liqueur flavored with wormwood and anise,the time interval during which something or somebody is away,yes,The absence of absinthe made the fig leaf leave.
"flowers,fig leaf,eve",garden,guard,a plot of ground where plants are cultivated,watch over or shield from danger or harm; protect,no,{}
"flowers,fig leaf,eve",mist,miss,a thin fog with condensation near the ground,fail to perceive or to catch with the senses or the mind,no,{}
"friends,out,ropes",brail,bail,transcribe in braille,secure the release of (someone) by providing security,yes,I tried to get out of jail but couldn't make out the brail.
"friends,out,ropes",got,got,come into the possession of something concrete or abstract,receive as a retribution or punishment,no,{}
"friends,out,ropes",turn,turn,cause to change or turn into something different;assume new characteristics,"change orientation or direction, also in the abstract sense",no,{}
"fruit vender,daughter",yammered,yam,complain whiningly,edible tuber of any of several yams,yes,The fruit vendor’s daughter was yammering about a yam and cheese.
"fruit vender,daughter",prince,print,a male member of a royal family other than the sovereign (especially the son of a sovereign),a printed picture produced from a photographic negative,no,{}
"fruit vender,daughter",still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,no,{}
"garden,grow food",root,root,(botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground,"the place where something begins, where it springs into being",yes,You got to get to the root to grow food in a garden.
"garden,grow food",handy,hand,useful and convenient,the (prehensile) extremity of the superior limb,yes,It's easy to grow food in a garden without needing a hand.
"garden,grow food",hedges,edge,a fence formed by a row of closely planted shrubs or bushes,the outside limit of an object or area or surface; a place farthest away from the center of something,yes,I try to grow food in my garden but the edge stops me.
gardener,handy,hand,useful and convenient,the (prehensile) extremity of the superior limb,no,{}
gardener,hedges,edge,a fence formed by a row of closely planted shrubs or bushes,the outside limit of an object or area or surface; a place farthest away from the center of something,no,{}
gardener,cultured,cultured,(biology) the growing of microorganisms in a nutrient medium (such as gelatin or agar),marked by refinement in taste and manners,no,{}
"get  over,old cricketers",testily,test,in a petulant manner,a set of questions or exercises evaluating skill or knowledge,yes,If you test an old cricketers about their tests they might get testy .
"get  over,old cricketers",pin,pin,ascribe blame or guilt for something to (someone),attach or fasten with pins,no,{}
"get  over,old cricketers",lease,least,a contract granting use or occupation of property during a specified time for a specified payment,the superlative of `little' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning smallest in amount or extent or degree,no,{}
guitarists,impressed,impressed,impress positively,mark or stamp with or as if with pressure,no,{}
guitarists,lute,loot,"chordophone consisting of a plucked instrument having a pear-shaped body, a usually bent neck, and a fretted fingerboard",goods or money obtained illegally,yes,The guitarist who robbed the band escaped with the lute.
guitarists,fret,fret,worry unnecessarily or excessively,a small bar of metal across the fingerboard of a musical instrument; when the string is stopped by a finger at the metal bar it will produce a note of the desired pitch,yes,"""I almost never fret,"" said the bad guitar player."
"hail storm,knock out,hit",relief,relief,the feeling that comes when something burdensome is removed or reduced,sculpture consisting of shapes carved on a surface so as to stand out from the surrounding background,no,{}
"hail storm,knock out,hit",kilter,kilt,in working order,a knee-length pleated tartan skirt worn by men as part of the traditional dress in the Highlands of northern Scotland,no,{}
"hail storm,knock out,hit",got,got,come into the possession of something concrete or abstract,receive as a retribution or punishment,no,{}
"hospital,boy swallowed a pillow,condition as",lamely,lame,in a weak and unconvincing manner,disabled in the feet or legs,yes,The man with no legs had a lame sense of humor.
"hospital,boy swallowed a pillow,condition as",lease,least,a contract granting use or occupation of property during a specified time for a specified payment,the superlative of `little' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning smallest in amount or extent or degree,no,{}
"hospital,boy swallowed a pillow,condition as",wholeheartedly,heart,without reserve; without reservation,an area that is approximately central within some larger region,yes,The transplant candidate accused his doctor of being heartless.
"houses,truckers",coupe,coop,a car with two doors and front seats and a luggage compartment,a farm building for housing poultry,no,{}
"houses,truckers",lease,least,a contract granting use or occupation of property during a specified time for a specified payment,the superlative of `little' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning smallest in amount or extent or degree,no,{}
"houses,truckers",still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,no,{}
"human cannonball,late for work",charge,charge,pay with a credit card; pay with plastic money; postpone payment by recording a purchase as a debt,energize a battery by passing a current through it in the direction opposite to discharge,no,{}
"human cannonball,late for work",absinthe,absence,strong green liqueur flavored with wormwood and anise,the time interval during which something or somebody is away,yes,The drunk human cannonball was absinthe from work.
"human cannonball,late for work",lamely,lame,in a weak and unconvincing manner,disabled in the feet or legs,no,{}
"humor,desert,people",oddly,odds,in a strange manner,the ratio by which one better's wager is greater than that of another,no,{}
"humor,desert,people",wry,rye,humorously sarcastic or mocking,the seed of the cereal grass,yes,The sandwich had a rye sense of humor.
"humor,desert,people",Inca,ink,the small group of Quechua living in the Cuzco Valley in Peru who established hegemony over their neighbors in order to create an empire that lasted from about 1100 until the Spanish conquest in the early 1530s,a liquid used for printing or writing or drawing,no,{}
hunts deer,dogmatized,dog,speak dogmatically,a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds,no,{}
hunts deer,hedges,edge,a fence formed by a row of closely planted shrubs or bushes,the outside limit of an object or area or surface; a place farthest away from the center of something,yes,Why is the hunter so good at hunting deer? Because he hunts life on the hedges
hunts deer,inferred,fur,reason by deduction; establish by deduction,a garment made of animal pelts or synthetic fur,yes,Why did the hunter hunt deer? Because he inferred where they were going to be!
"i' ll take that,said",brail,bail,transcribe in braille,secure the release of (someone) by providing security,yes,"I'll take your bail and write in in braille, said the guard to the blind prisoner."
"i' ll take that,said",handy,hand,useful and convenient,the (prehensile) extremity of the superior limb,yes,"""I'll take your hand and keep it handy"" said the transplant surgeon."
"i' ll take that,said",coupe,coop,a car with two doors and front seats and a luggage compartment,a farm building for housing poultry,yes,"""I'll take that coop and put it in the coupe,"" said the man as he sat on henhouse stoop."
"insomnia,awake",testily,test,in a petulant manner,a set of questions or exercises evaluating skill or knowledge,no,{}
"insomnia,awake",oddly,odds,in a strange manner,the ratio by which one better's wager is greater than that of another,no,{}
"insomnia,awake",absinthe,absence,strong green liqueur flavored with wormwood and anise,the time interval during which something or somebody is away,no,{}
"interest,lends,poor",relief,relief,the feeling that comes when something burdensome is removed or reduced,sculpture consisting of shapes carved on a surface so as to stand out from the surrounding background,yes,The sculptor had a poor interest in the relief he felt from his latest statue
"interest,lends,poor",oddly,odds,in a strange manner,the ratio by which one better's wager is greater than that of another,no,{}
"interest,lends,poor",hedges,edge,a fence formed by a row of closely planted shrubs or bushes,the outside limit of an object or area or surface; a place farthest away from the center of something,yes,"The banker quoted a low interest to a poor man, he was living on the hedge."
"job,pens",handy,hand,useful and convenient,the (prehensile) extremity of the superior limb,yes,"If your job is to draw a hand, a pen would be handy."
"job,pens",splice,slice,joint made by overlapping two ends and joining them together,a serving that has been cut from a larger portion,no,{}
"job,pens",prince,print,a male member of a royal family other than the sovereign (especially the son of a sovereign),a printed picture produced from a photographic negative,yes,"They asked the royal artist for a prince portrait, but he told them his job was to use pens, not prints."
"judges,die",testily,test,in a petulant manner,a set of questions or exercises evaluating skill or knowledge,no,{}
"judges,die",lamely,lame,in a weak and unconvincing manner,disabled in the feet or legs,yes,"judges stay at home when they die, they can't move so they do so lamely"
"judges,die",count,count,determine the number or amount of,have faith or confidence in,yes,"The judge almost died when sentencing the felon, he told him ""you have done so many things I can count them on you"""
"judges,die,slur their",stand,stand,be standing; be upright,be in some specified state or condition,no,Judges can't stand people who will not stand for having to stand.
"judges,die,slur their",testily,test,in a petulant manner,a set of questions or exercises evaluating skill or knowledge,no,{}
"judges,die,slur their",count,count,determine the number or amount of,have faith or confidence in,no,{}
"knocker,said,try,not answering",testily,test,in a petulant manner,a set of questions or exercises evaluating skill or knowledge,no,{}
"knocker,said,try,not answering",handy,hand,useful and convenient,the (prehensile) extremity of the superior limb,no,{}
"knocker,said,try,not answering",assay,say,analyze (chemical substances),express in words,no,{}
"lousy dates,and dining",handy,hand,useful and convenient,the (prehensile) extremity of the superior limb,yes,To smack your lousy date the hand comes handy.
"lousy dates,and dining",absinthe,absence,strong green liqueur flavored with wormwood and anise,the time interval during which something or somebody is away,yes,The absent absinthe made the date lousy.
"lousy dates,and dining",lease,least,a contract granting use or occupation of property during a specified time for a specified payment,the superlative of `little' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning smallest in amount or extent or degree,no,{}
"magician,into a drugstore",handy,hand,useful and convenient,the (prehensile) extremity of the superior limb,no,"The magician in the drugstore is full of handy tricks, but he often can't hold on to them"
"magician,into a drugstore",charge,charge,pay with a credit card; pay with plastic money; postpone payment by recording a purchase as a debt,energize a battery by passing a current through it in the direction opposite to discharge,no,"The magician went into the drugstore because he was tired and depleted, good thing they charged him!"
"magician,into a drugstore",prince,print,a male member of a royal family other than the sovereign (especially the son of a sovereign),a printed picture produced from a photographic negative,yes,"The magician needed the drugstore to process his file, so he could walk away with a prince version of it."
"married,jokes",oddly,odds,in a strange manner,the ratio by which one better's wager is greater than that of another,yes,"Married jokes are my favorite, no matter the odds."
"married,jokes",wry,rye,humorously sarcastic or mocking,the seed of the cereal grass,yes,The married farmer always told rye jokes.
"married,jokes",lamely,lame,in a weak and unconvincing manner,disabled in the feet or legs,no,{}
martini,pair,pear,two people considered as a unit,sweet juicy gritty-textured fruit available in many varieties,yes,I put a pear of fruity martinis on the table for them.
martini,wry,rye,humorously sarcastic or mocking,the seed of the cereal grass,no,{}
martini,absinthe,absence,strong green liqueur flavored with wormwood and anise,the time interval during which something or somebody is away,yes,"I missed her, so I drank a martini in her absinthe."
masochist,dogmatized,dog,speak dogmatically,a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds,no,{}
masochist,lamely,lame,in a weak and unconvincing manner,disabled in the feet or legs,no,{}
masochist,jerk,jerk,a dull stupid fatuous person,an abrupt spasmodic movement,yes,"Watch out for that masochist, bit of a jerk."
"merry-go-round,politicians",stand,stand,be standing; be upright,be in some specified state or condition,no,The politician couldn't stand standing for their principles.
"merry-go-round,politicians",oddly,odds,in a strange manner,the ratio by which one better's wager is greater than that of another,no,{}
"merry-go-round,politicians",lamely,lame,in a weak and unconvincing manner,disabled in the feet or legs,no,{}
"meteorologists,under the",lease,least,a contract granting use or occupation of property during a specified time for a specified payment,the superlative of `little' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning smallest in amount or extent or degree,yes,"The meteorologist was under the rental house due to incoming tornadoes, paying his rent was the lease of his worries."
"meteorologists,under the",still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,no,{}
"meteorologists,under the",Classified,Classified,a short ad in a newspaper or magazine (usually in small print) and appearing along with other ads of the same type,official classification of information or documents; withheld from general circulation,yes,The meterologist found some highly classified information --- in the sunday newspaper!
"miss,ex - lumberjack",swept,swept,sweep with a broom or as if with a broom,overwhelm emotionally,yes,The lumberjack knew how to sweep people off their feet with his wooden broom.
"miss,ex - lumberjack",rakes,rakes,a dissolute man in fashionable society,a long-handled tool with a row of teeth at its head; used to move leaves or loosen soil,no,{}
"miss,ex - lumberjack",catch,catch,a drawback or difficulty that is not readily evident,the quantity that was caught,no,{}
moby dick,Guerrilla,gorilla,a member of an irregular armed force that fights a stronger force by sabotage and harassment,largest anthropoid ape; terrestrial and vegetarian; of forests of central west Africa,no,{}
moby dick,charge,charge,pay with a credit card; pay with plastic money; postpone payment by recording a purchase as a debt,energize a battery by passing a current through it in the direction opposite to discharge,no,{}
moby dick,jerk,jerk,a dull stupid fatuous person,an abrupt spasmodic movement,no,{}
"mother,little boy,grim does not pay",charge,charge,pay with a credit card; pay with plastic money; postpone payment by recording a purchase as a debt,energize a battery by passing a current through it in the direction opposite to discharge,no,{}
"mother,little boy,grim does not pay",count,count,determine the number or amount of,have faith or confidence in,no,{}
"mother,little boy,grim does not pay",puckishly,puck,in an appealing but bold manner,a vulcanized rubber disk 3 inches in diameter that is used instead of a ball in ice hockey,no,{}
"movie,beaver",Guerrilla,gorilla,a member of an irregular armed force that fights a stronger force by sabotage and harassment,largest anthropoid ape; terrestrial and vegetarian; of forests of central west Africa,yes,The movie showed a beaver joining an antigovernmental gorilla group!
"movie,beaver",yammered,yam,complain whiningly,edible tuber of any of several yams,no,{}
"movie,beaver",inferred,fur,reason by deduction; establish by deduction,a garment made of animal pelts or synthetic fur,yes,"This movie was so crazy, the fluffy beaver was covered inferred!"
"movie,popular",cultured,cultured,(biology) the growing of microorganisms in a nutrient medium (such as gelatin or agar),marked by refinement in taste and manners,no,{}
"movie,popular",prince,print,a male member of a royal family other than the sovereign (especially the son of a sovereign),a printed picture produced from a photographic negative,no,{}
"movie,popular",impressed,impressed,impress positively,mark or stamp with or as if with pressure,no,{}
"never die,tailors",swept,swept,sweep with a broom or as if with a broom,overwhelm emotionally,yes,"The tailors said he would never die, even if a broom swept him with emotions"
